Address,Price,Details,Lat,Long
EAST 47TH STREET,"$2,300 ",Studio | 1 BT,40.7546125,-73.9737345
265 EAST 78TH STREET,"$2,444 ",1 BR  | 1 BT,40.772875,-73.9558334
1680 YORK AVENUE,"$3,295 ",2 B | 1 BT,40.7774833,-73.9457561
304 EAST 62ND STREET,"$2,287 ",1 BR | 1 BT,40.76211715,-73.9625405778973
516 EAST 78TH STREET,"$2,200 ",Studio |  1 BT,40.7699992,-73.9499686209677
312 EAST 9TH STREET,"$3,200 ",2 BR  | 1 BT,40.7288325,-73.9866508
315 EAST 56TH STREET,"$2,979 ",1 BR  | 1 BT,40.75837275,-73.9648115043234
333 EAST 46TH STREET,"$2,500 ",1 BR  					| 1 BT,40.75209315,-73.9689403525159
50TH AVENUE,"$4,550 ",3 BR  						| 2 BT,40.7900869,-73.9598295
CENTER BOULEVARD,"$2,300 ",Studio  						| 1 BT,39.02073955,-77.0130851767881
42ND ROAD,"$2,750 ",1 BR |  1 BT,40.7560234,-73.9863067
205 EAST 95TH STREET,"$2,963 ",1 BR  						| 1 BT,40.7843331836735,-73.9491664489796
156 East 30th  street,"$6,000 ","2 	beds
						2 Baths
					Approx. 1,200 SqFt",40.74323435,-73.9805836219946
"
					east 30th street
","$6,000 ","					2 Beds,
						2 Baths",40.7416599,-73.9762612
"
					east 30th street
","$5,500 ","					2 Beds,
						2 Baths
					Approx. 950 SqFt",40.7416599,-73.9762612
"
					East 97th Street
","$5,500 ","					3 Beds,
						2 Baths",40.7879497,-73.9537864
"					West 105th Street
","$5,300 ","Condo
					4 Beds,
						2 Baths",40.7997711,-73.9662127
"
East 91st street","$4,650 ","					2 Beds,
						2 Baths",40.7801132,-73.9471896
"
					EAST 88TH STREET
","$4,500 ","					2 Beds,
						2 Baths",40.7791759,-73.9507943
E	ast 30th street ,"$4,500 ","					3 Beds,
						2 Baths",40.7416599,-73.9762612
					East 77th Street,"$4,500 ","					1 Beds,
						 1.5 Baths",40.7729692,-73.9582529
The Caldwell ,"$3,395
                    ",1 Bed,40.77221415,-73.9493898571934
One Sutton Place North ,"$4,995
                    ",1 Bed,40.75999585,-73.9599979110584
350 East 91st Street,"$4,800
                    ",3 Beds,40.78015375,-73.9477538979424
1577 York Avenue,"$2,395
                    ",2 Beds,40.7745849,-73.9483424
409 East 87th Street,"$3,000
                    ",1 Bed,40.7774137,-73.9480780342751
220 West 71st Street,"$3,400
                    ",1 Bed,40.7781518,-73.9831383888442
353 East 83rd Street,"$3,695
                    ",2 Beds,40.7752215,-73.9510245
"11 Centre Street, Civic Center","$3,299
             ",3 Beds,40.7126271632653,-74.0047898979592
124 East 72nd Street,"$3,275
                    ",1 Bed,40.77050265,-73.9630028227918
117 East 37th Street,"$2,300
                    ",Studio,40.74871185,-73.9788100005977
