stations,Lat,Long
103rd Street (IND Eighth Avenue Line),40.79604,-73.96142
103rd Street (IRT Broadway–Seventh Avenue Line),40.799419,-73.968158
103rd Street (IRT Lexington Avenue Line),40.79029,-73.947687
106th Street (Second Avenue Subway),40.7906,-73.9425
10th Avenue (IRT Flushing Line),40.759,-73.996
110th Street (IRT Lexington Avenue Line),40.794773,-73.944426
116th Street (IND Eighth Avenue Line),40.804389,-73.955412
116th Street (IRT Lenox Avenue Line),40.802,-73.95
116th Street (IRT Lexington Avenue Line),40.798607,-73.942022
116th Street (Second Avenue Subway),40.797,-73.938
116th Street–Columbia University (IRT Broadway–Seventh Avenue Line),40.808,-73.964
125th Street (IND Eighth Avenue Line),40.810756,-73.952665
125th Street (IRT Broadway–Seventh Avenue Line),40.815,-73.958
125th Street (IRT Lenox Avenue Line),40.807,-73.945
125th Street (IRT Lexington Avenue Line),40.804259,-73.937473
135th Street (IND Eighth Avenue Line),40.81709,-73.94803
135th Street (IRT Lenox Avenue Line),40.814,-73.941
137th Street–City College (IRT Broadway–Seventh Avenue Line),40.821,-73.954
145th Street (IND lines),40.82404,-73.944769
145th Street (IRT Broadway–Seventh Avenue Line),40.826,-73.95
145th Street (IRT Lenox Avenue Line),40.82,-73.936
14th Street/Eighth Avenue (New York City Subway),40.739779,-74.002533
14th Street/Sixth Avenue (New York City Subway),40.737328,-73.996796
14th Street–Union Square (New York City Subway),40.734722,-73.990278
155th Street (IND Concourse Line),40.829917,-73.939104
155th Street (IND Eighth Avenue Line),40.830859,-73.9414
157th Street (IRT Broadway–Seventh Avenue Line),40.834,-73.944
163rd Street–Amsterdam Avenue (IND Eighth Avenue Line),40.836866,-73.940134
168th Street (New York City Subway),40.841022,-73.939791
175th Street (IND Eighth Avenue Line),40.846541,-73.940091
181st Street (IND Eighth Avenue Line),40.8517,-73.938
181st Street (IRT Broadway–Seventh Avenue Line),40.849,-73.934
18th Street (IRT Broadway–Seventh Avenue Line),40.741,-73.998
190th Street (IND Eighth Avenue Line),40.859,-73.934
191st Street (IRT Broadway–Seventh Avenue Line),40.855,-73.929
207th Street (IRT Broadway–Seventh Avenue Line),40.8644,-73.9189
215th Street (IRT Broadway–Seventh Avenue Line),40.869473,-73.915074
23rd Street (BMT Broadway Line),40.741339,-73.989272
23rd Street (IND Eighth Avenue Line),40.745274,-73.998499
23rd Street (IND Sixth Avenue Line),40.742933,-73.992877
23rd Street (IRT Broadway–Seventh Avenue Line),40.744,-73.996
23rd Street (IRT Lexington Avenue Line),40.740169,-73.98644
28th Street (BMT Broadway Line),40.745241,-73.988757
28th Street (IRT Broadway–Seventh Avenue Line),40.747,-73.993
28th Street (IRT Lexington Avenue Line),40.74329,-73.984165
33rd Street (IRT Lexington Avenue Line),40.746389,-73.981944
34th Street–Herald Square (New York City Subway),40.749338,-73.987985
34th Street–Hudson Yards (IRT Flushing Line),40.755839,-74.001961
34th Street–Penn Station (IND Eighth Avenue Line),40.752166,-73.993521
34th Street–Penn Station (IRT Broadway–Seventh Avenue Line),40.751,-73.991
42nd Street–Bryant Park/Fifth Avenue (New York City Subway),40.7548,-73.9842
47th–50th Streets–Rockefeller Center (IND Sixth Avenue Line),40.758603,-73.981376
49th Street (BMT Broadway Line),40.760423,-73.983779
50th Street (IND lines),40.762276,-73.986139
50th Street (IRT Broadway–Seventh Avenue Line),40.761,-73.984
57th Street (IND Sixth Avenue Line),40.764259,-73.977213
57th Street–Seventh Avenue (BMT Broadway Line),40.765461,-73.980088
59th Street–Columbus Circle (New York City Subway),40.767997,-73.981934
66th Street–Lincoln Center (IRT Broadway–Seventh Avenue Line),40.774,-73.982
68th Street–Hunter College (IRT Lexington Avenue Line),40.767834,-73.964124
72nd Street (IND Eighth Avenue Line),40.776154,-73.976011
72nd Street (IRT Broadway–Seventh Avenue Line),40.779,-73.982
72nd Street (Second Avenue Subway),40.768889,-73.958333
77th Street (IRT Lexington Avenue Line),40.773587,-73.959875
79th Street (IRT Broadway–Seventh Avenue Line),40.784,-73.98
81st Street–Museum of Natural History (IND Eighth Avenue Line),40.781971,-73.971763
86th Street (IND Eighth Avenue Line),40.785286,-73.969316
86th Street (IRT Broadway–Seventh Avenue Line),40.7883,-73.9764
86th Street (IRT Lexington Avenue Line),40.779469,-73.955626
86th Street (Second Avenue Subway),40.777861,-73.95175
96th Street (IND Eighth Avenue Line),40.791622,-73.964725
96th Street (IRT Broadway–Seventh Avenue Line),40.7941,-73.972
96th Street (IRT Lexington Avenue Line),40.785773,-73.950949
96th Street (Second Avenue Subway),40.7841,-73.9472
Astor Place (IRT Lexington Avenue Line),40.7244971,-73.98832938
Bowery (BMT Nassau Street Line),40.720299,-73.994079
